category,id,name,area_m2,radar_type,standoff_km,notes
aew,e2d,"E-2D 先进鹰眼 (美国, 固定翼舰载)",40,aesa,150,天线面积由公开外形尺寸推估
aew,e2c,"E-2C 鹰眼 (美国, 固定翼舰载, 早期型)",40,mechanical,150,天线面积由公开外形尺寸推估
aew,kj600,"空警-600 KJ-600 (中国, 固定翼舰载)",40,aesa,150,天线面积由公开外形尺寸推估
aew,ka31,卡-31 Ka-31 预警直升机 (俄/中/印),6,pesa,100,天线面积由公开外形尺寸推估
ship,burke3,"阿利·伯克 Flight III (美国, SPY-6)",13.5,gan_aesa,,天线面积由公开外形尺寸推估
ship,burke2a,"阿利·伯克 Flight IIA (美国, SPY-1D)",12,pesa,,天线面积由公开外形尺寸推估
ship,type052d,"052D (中国, Type 346A)",14,aesa,,天线面积由公开外形尺寸推估
ship,type055,"055 (中国, Type 346B)",21,aesa,,天线面积由公开外形尺寸推估
ship,type45,"45型 Type 45 (英国, SAMPSON)",6,aesa,,天线面积由公开外形尺寸推估
